date,index,source,count
Apr 2015,16,Overall,936
Apr 2016,28,Overall,1001
Aug 2015,20,Overall,811
Dec 2014,12,Overall,968
Dec 2015,24,Overall,1069
Feb 2015,14,Overall,927
Feb 2016,26,Overall,970
Jan 2015,13,Overall,735
Jan 2016,25,Overall,858
July 2015,19,Overall,926
June 2015,18,Overall,851
June 2016,30,Overall,825
Mar 2015,15,Overall,944
Mar 2016,27,Overall,1061
May 2015,17,Overall,780
May 2016,29,Overall,956
Nov 2014,11,Overall,729
Nov 2015,23,Overall,1008
Oct 2014,10,Overall,395
Oct 2015,22,Overall,916
Sept 2015,21,Overall,822
Oct 2014,10,top-10,186
Nov 2014,11,top-10,358
Dec 2015,12,top-10,449
Jan 2015,13,top-10,319
Feb 2015,14,top-10,454
Mar 2015,15,top-10,456
Apr 2015,16,top-10,472
May 2015,17,top-10,389
June 2015,18,top-10,434
July 2015,19,top-10,493
Aug 2015,20,top-10,424
Sept 2015,21,top-10,461
Oct 2015,22,top-10,520
Nov 2015,23,top-10,570
Dec 2016,24,top-10,601
Jan 2016,25,top-10,460
Feb 2016,26,top-10,548
Mar 2016,27,top-10,598
Apr 2016,28,top-10,537
May 2016,29,top-10,553
June 2016,30,top-10,466
Apr 2015,16,BBC News,15
Apr 2015,16,Meduza,34
Apr 2015,16,Reuters,17
Apr 2015,16,The Guardian,6
Apr 2015,16,Yahoo News,22
Apr 2015,16,Ведомости,26
Apr 2015,16,Интерфакс,141
Apr 2015,16,Коммерсантъ,45
Apr 2015,16,РБК,25
Apr 2015,16,РИА Новости,43
Apr 2015,16,ТАСС,98
Apr 2016,28,BBC News,18
Apr 2016,28,Meduza,51
Apr 2016,28,Reuters,29
Apr 2016,28,The Guardian,20
Apr 2016,28,Yahoo News,30
Apr 2016,28,Ведомости,30
Apr 2016,28,Интерфакс,140
Apr 2016,28,Коммерсантъ,56
Apr 2016,28,РБК,47
Apr 2016,28,РИА Новости,38
Apr 2016,28,ТАСС,78
