date,index,source,count
2014 Dec,12,BBC News,17
2014 Dec,12,Meduza,43
2014 Dec,12,Reuters,13
2014 Dec,12,The Guardian,9
2014 Dec,12,Yahoo News,11
2014 Dec,12,Ведомости,35
2014 Dec,12,Интерфакс,120
2014 Dec,12,Коммерсантъ,27
2014 Dec,12,РБК,24
2014 Dec,12,РИА Новости,43
2014 Dec,12,ТАСС,107
2014 November,11,BBC News,21
2014 November,11,Meduza,31
2014 November,11,Reuters,4
2014 November,11,The Guardian,10
2014 November,11,Yahoo News,7
2014 November,11,Ведомости,30
2014 November,11,Интерфакс,91
2014 November,11,Коммерсантъ,34
2014 November,11,РБК,31
2014 November,11,РИА Новости,20
2014 November,11,ТАСС,79
2014 Oct,10,BBC News,9
2014 Oct,10,Meduza,7
2014 Oct,10,Reuters,7
2014 Oct,10,The Guardian,5
2014 Oct,10,Yahoo News,1
2014 Oct,10,Ведомости,17
2014 Oct,10,Интерфакс,40
2014 Oct,10,Коммерсантъ,15
2014 Oct,10,РБК,21
2014 Oct,10,РИА Новости,14
2014 Oct,10,ТАСС,50
2015 April,16,BBC News,15
2015 April,16,Meduza,34
2015 April,16,Reuters,17
2015 April,16,The Guardian,6
2015 April,16,Yahoo News,22
2015 April,16,Ведомости,26
2015 April,16,Интерфакс,141
2015 April,16,Коммерсантъ,45
2015 April,16,РБК,25
2015 April,16,РИА Новости,43
2015 April,16,ТАСС,98
2015 August,20,BBC News,12
2015 August,20,Meduza,41
2015 August,20,Reuters,11
2015 August,20,The Guardian,11
2015 August,20,Yahoo News,37
2015 August,20,Ведомости,23
2015 August,20,Интерфакс,94
2015 August,20,Коммерсантъ,53
2015 August,20,РБК,36
2015 August,20,РИА Новости,27
2015 August,20,ТАСС,79
2015 Dec,24,BBC News,16
2015 Dec,24,Meduza,60
2015 Dec,24,Reuters,30
2015 Dec,24,The Guardian,11
2015 Dec,24,Yahoo News,47
2015 Dec,24,Ведомости,27
2015 Dec,24,Интерфакс,135
2015 Dec,24,Коммерсантъ,40
2015 Dec,24,РБК,44
2015 Dec,24,РИА Новости,56
2015 Dec,24,ТАСС,135
2015 Feb,14,BBC News,10
2015 Feb,14,Meduza,32
2015 Feb,14,Reuters,14
2015 Feb,14,The Guardian,10
2015 Feb,14,Yahoo News,27
2015 Feb,14,Ведомости,28
2015 Feb,14,Интерфакс,128
2015 Feb,14,Коммерсантъ,32
2015 Feb,14,РБК,32
2015 Feb,14,РИА Новости,48
2015 Feb,14,ТАСС,93
2015 Jan,13,BBC News,11
2015 Jan,13,Meduza,31
2015 Jan,13,Reuters,15
2015 Jan,13,The Guardian,10
2015 Jan,13,Yahoo News,29
2015 Jan,13,Ведомости,19
2015 Jan,13,Интерфакс,75
2015 Jan,13,Коммерсантъ,21
2015 Jan,13,РБК,16
2015 Jan,13,РИА Новости,28
2015 Jan,13,ТАСС,64
2015 July,19,BBC News,21
2015 July,19,Meduza,48
2015 July,19,Reuters,9
2015 July,19,The Guardian,15
2015 July,19,Yahoo News,52
2015 July,19,Ведомости,31
2015 July,19,Интерфакс,111
2015 July,19,Коммерсантъ,45
2015 July,19,РБК,33
2015 July,19,РИА Новости,48
2015 July,19,ТАСС,80
2015 June,18,BBC News,23
2015 June,18,Meduza,24
2015 June,18,Reuters,11
2015 June,18,The Guardian,19
2015 June,18,Yahoo News,40
2015 June,18,Ведомости,20
2015 June,18,Интерфакс,116
2015 June,18,Коммерсантъ,46
2015 June,18,РБК,27
2015 June,18,РИА Новости,42
2015 June,18,ТАСС,66
2015 March,15,BBC News,17
2015 March,15,Meduza,48
2015 March,15,Reuters,22
2015 March,15,The Guardian,14
2015 March,15,Yahoo News,16
2015 March,15,Ведомости,15
2015 March,15,Интерфакс,122
2015 March,15,Коммерсантъ,45
2015 March,15,РБК,25
2015 March,15,РИА Новости,38
2015 March,15,ТАСС,94
2015 May,17,BBC News,19
2015 May,17,Meduza,40
2015 May,17,Reuters,9
2015 May,17,The Guardian,16
2015 May,17,Yahoo News,11
2015 May,17,Ведомости,17
2015 May,17,Интерфакс,112
2015 May,17,Коммерсантъ,41
2015 May,17,РБК,28
2015 May,17,РИА Новости,21
2015 May,17,ТАСС,75
2015 November,23,BBC News,20
2015 November,23,Meduza,36
2015 November,23,Reuters,41
2015 November,23,The Guardian,27
2015 November,23,Yahoo News,47
2015 November,23,Ведомости,10
2015 November,23,Интерфакс,121
2015 November,23,Коммерсантъ,52
2015 November,23,РБК,36
2015 November,23,РИА Новости,61
2015 November,23,ТАСС,119
2015 Oct,22,BBC News,16
2015 Oct,22,Meduza,40
2015 Oct,22,Reuters,43
2015 Oct,22,The Guardian,5
2015 Oct,22,Yahoo News,42
2015 Oct,22,Ведомости,29
2015 Oct,22,Интерфакс,125
2015 Oct,22,Коммерсантъ,46
2015 Oct,22,РБК,30
2015 Oct,22,РИА Новости,33
2015 Oct,22,ТАСС,111
2015 Sept,21,BBC News,17
2015 Sept,21,Meduza,46
2015 Sept,21,Reuters,18
2015 Sept,21,The Guardian,15
2015 Sept,21,Yahoo News,38
2015 Sept,21,Ведомости,30
2015 Sept,21,Интерфакс,108
2015 Sept,21,Коммерсантъ,40
2015 Sept,21,РБК,31
2015 Sept,21,РИА Новости,33
2015 Sept,21,ТАСС,85
2016 April,28,BBC News,18
2016 April,28,Meduza,51
2016 April,28,Reuters,29
2016 April,28,The Guardian,20
2016 April,28,Yahoo News,30
2016 April,28,Ведомости,30
2016 April,28,Интерфакс,140
2016 April,28,Коммерсантъ,56
2016 April,28,РБК,47
2016 April,28,РИА Новости,38
2016 April,28,ТАСС,78
2016 Feb,26,BBC News,17
2016 Feb,26,Meduza,26
2016 Feb,26,Reuters,13
2016 Feb,26,The Guardian,14
2016 Feb,26,Yahoo News,57
2016 Feb,26,Ведомости,32
2016 Feb,26,Интерфакс,149
2016 Feb,26,Коммерсантъ,65
2016 Feb,26,РБК,49
2016 Feb,26,РИА Новости,35
2016 Feb,26,ТАСС,91
2016 Jan,25,BBC News,24
2016 Jan,25,Meduza,38
2016 Jan,25,Reuters,24
2016 Jan,25,The Guardian,15
2016 Jan,25,Yahoo News,43
2016 Jan,25,Ведомости,23
2016 Jan,25,Интерфакс,123
2016 Jan,25,Коммерсантъ,49
2016 Jan,25,РБК,40
2016 Jan,25,РИА Новости,28
2016 Jan,25,ТАСС,53
2016 June,30,BBC News,14
2016 June,30,Meduza,59
2016 June,30,Reuters,25
2016 June,30,The Guardian,11
2016 June,30,Yahoo News,22
2016 June,30,Ведомости,21
2016 June,30,Интерфакс,125
2016 June,30,Коммерсантъ,38
2016 June,30,РБК,33
2016 June,30,РИА Новости,43
2016 June,30,ТАСС,75
2016 March,27,BBC News,20
2016 March,27,Meduza,58
2016 March,27,Reuters,24
2016 March,27,The Guardian,21
2016 March,27,Yahoo News,32
2016 March,27,Ведомости,38
2016 March,27,Интерфакс,158
2016 March,27,Коммерсантъ,53
2016 March,27,РБК,55
2016 March,27,РИА Новости,31
2016 March,27,ТАСС,108
2016 May,29,BBC News,16
2016 May,29,Meduza,69
2016 May,29,Reuters,26
2016 May,29,The Guardian,13
2016 May,29,Yahoo News,22
2016 May,29,Ведомости,37
2016 May,29,Интерфакс,158
2016 May,29,Коммерсантъ,52
2016 May,29,РБК,29
2016 May,29,РИА Новости,50
2016 May,29,ТАСС,81
